customer_id,avg_balance,balance_volatility,total_inflows,total_withdrawals,withdrawal_frequency,transaction_frequency,merchant_activity,inflow_outflow_ratio,days_low_balance,avg_transaction_amount,liquidity_stress_30d
CUST_00141,5286.8,177.48,7510.28,5859.4,8,35,9,1.282,2,476.33,0
CUST_00142,1494.3,461.16,6212.17,124983.8,7,23,5,0.05,1,92.35,1
CUST_00143,534.41,861.22,70487.32,8453.66,9,34,10,8.337,6,185.72,0
CUST_00144,4632.91,129.33,11107.66,4800.47,8,19,9,2.313,4,267.83,1
CUST_00145,1751.72,279.08,4556.98,22181.72,11,27,14,0.205,3,206.93,1
CUST_00146,2505.34,168.07,4649.84,1387.31,5,21,13,3.349,4,550.1,0
CUST_00147,2098.78,167.21,3811.8,7188.03,10,38,12,0.53,5,196.76,1
CUST_00148,3207.63,225.57,17141.46,36143.93,10,33,13,0.474,6,492.94,1
CUST_00149,9503.18,50.99,6054.14,6010.3,6,34,10,1.007,4,419.58,0
CUST_00150,4193.72,174.46,8972.23,1520.35,9,28,10,5.898,3,277.12,0
CUST_00151,3156.53,259.98,7701.67,4738.47,13,22,20,1.625,1,507.47,1
CUST_00152,1433.55,91.12,14547.78,22841.64,5,30,9,0.637,0,101.84,0
CUST_00153,806.57,261.37,4115.87,9133.09,8,26,20,0.451,9,286.24,0
CUST_00154,2350.36,45.48,3427.35,3251.83,5,26,13,1.054,6,173.82,1
CUST_00155,3468.91,195.36,9695.7,3705.39,12,24,12,2.616,5,277.32,0
CUST_00156,17874.62,530.46,13105.24,4122.66,4,34,11,3.178,4,215.17,0
CUST_00157,4093.87,152.19,10572.65,9018.36,13,30,21,1.172,6,311.68,1
CUST_00158,8817.25,82.89,4240.5,20691.26,10,32,12,0.205,3,300.86,0
CUST_00159,2323.04,57.97,13932.62,16229.07,5,28,10,0.858,3,329.35,0
CUST_00160,1253.32,247.75,4468.96,9775.26,5,25,10,0.457,7,338.62,0
CUST_00161,1527.51,380.85,5338.87,2139.02,14,32,10,2.495,3,446.46,0
CUST_00162,1895.61,173.32,3807.92,2145.78,16,23,12,1.774,6,123.83,0
CUST_00163,24726.3,125.09,22946.64,10438.58,11,29,17,2.198,3,426.9,0
CUST_00164,1738.45,38.68,13450.04,2114.03,8,36,13,6.359,6,103.66,1
CUST_00165,7743.74,200.18,13147.6,5476.75,4,36,20,2.4,4,42.26,0
CUST_00166,1615.44,104.44,21977.38,8591.49,10,21,14,2.558,5,1188.83,0
CUST_00167,8420.43,109.35,76889.1,2522.6,8,29,10,30.468,6,154.91,0
CUST_00168,5148.48,660.59,2064.45,2777.7,11,27,13,0.743,4,218.41,1
CUST_00169,3162.21,42.89,4488.61,6124.16,12,38,14,0.733,3,81.08,0
CUST_00170,3509.8,47.74,4949.59,10179.21,13,32,8,0.486,4,217.43,1
CUST_00171,2019.67,218.12,4102.47,16355.03,5,42,9,0.251,0,345.42,0
CUST_00172,5439.62,133.19,3421.84,11114.38,9,34,12,0.308,2,354.23,1
CUST_00173,2417.56,119.7,6375.88,7062.88,10,35,14,0.903,2,128.41,1
CUST_00174,1208.28,225.46,3061.67,3518.3,8,29,9,0.87,5,219.08,0
CUST_00175,1152.69,222.46,10593.9,2669.72,6,32,15,3.967,2,386.89,0
CUST_00176,4252.78,83.19,8445.24,4297.35,10,35,7,1.965,3,353.18,0
CUST_00177,15080.87,112.92,11906.3,9399.81,11,25,16,1.267,3,326.94,0
CUST_00178,4204.84,188.6,12163.35,8831.94,9,33,11,1.377,1,508.92,0
CUST_00179,3272.23,207.2,13126.72,1113.3,8,29,14,11.78,4,276.91,0
CUST_00180,4709.06,266.83,6010.56,3402.19,7,23,11,1.766,8,792.01,0
CUST_00181,11794.65,113.69,44219.22,18468.68,11,36,12,2.394,12,243.42,0
CUST_00182,4435.72,239.28,9774.62,7096.33,13,42,9,1.377,5,485.98,0
CUST_00183,2515.35,387.72,1826.24,1989.31,10,24,12,0.918,8,498.24,1
CUST_00184,9854.27,188.2,3634.04,49140.95,7,34,13,0.074,6,94.88,0
CUST_00185,5355.51,166.96,2013.44,6473.03,12,40,15,0.311,4,406.93,0
CUST_00186,14504.01,150.14,8216.24,9197.47,10,35,15,0.893,5,190.93,0
CUST_00187,4293.73,110.62,7350.74,9317.0,9,34,14,0.789,1,147.5,0
CUST_00188,1209.52,85.59,5570.61,4853.93,10,31,12,1.147,2,222.05,0
CUST_00189,1062.79,142.81,40487.19,3574.43,8,26,15,11.324,7,334.68,0
CUST_00190,16088.1,259.99,12571.48,40272.48,6,33,12,0.312,4,99.94,0
CUST_00191,17176.53,89.0,14485.14,15564.14,4,26,9,0.931,7,304.54,0
CUST_00192,3097.75,170.66,3847.36,13341.66,9,20,14,0.288,4,256.65,0
CUST_00193,2578.93,155.53,3643.44,10827.51,6,44,19,0.336,6,618.15,0
CUST_00194,13565.7,751.63,8345.22,2827.59,10,34,12,2.95,5,191.81,1
CUST_00195,1344.34,323.18,9305.92,19651.34,14,27,14,0.474,5,687.37,1
CUST_00196,1627.41,319.02,1835.28,3240.03,14,17,12,0.566,5,391.8,0
CUST_00197,6496.34,378.43,7014.64,8440.47,4,29,9,0.831,6,291.94,0
CUST_00198,2552.57,117.15,8194.82,1646.68,7,40,9,4.974,3,728.92,0
CUST_00199,3624.21,545.34,6821.81,1170.6,9,37,8,5.823,2,1148.0,0
CUST_00200,3142.9,205.89,4227.17,8695.38,12,31,16,0.486,3,257.91,0
CUST_00201,4933.56,174.91,5262.55,3335.13,7,30,15,1.577,4,178.03,0
CUST_00202,12922.61,68.59,7034.01,1223.18,7,26,10,5.746,9,403.55,0
CUST_00203,3950.22,131.46,8713.6,10504.07,14,24,12,0.829,3,110.37,0
CUST_00204,6499.92,44.13,13145.48,40217.95,11,30,15,0.327,5,120.21,1
CUST_00205,575.27,148.63,19238.81,21614.64,8,26,9,0.89,2,746.06,1
CUST_00206,3484.76,114.32,6403.0,5330.92,10,37,12,1.201,2,445.99,1
CUST_00207,1704.61,131.8,5625.56,6684.31,10,28,13,0.841,4,163.9,1
CUST_00208,1215.69,59.81,11500.26,14108.75,10,36,10,0.815,0,2682.58,0
CUST_00209,1651.87,318.26,13209.29,17219.69,10,31,16,0.767,8,113.58,0
CUST_00210,2695.36,291.2,5725.24,4954.22,17,31,12,1.155,5,461.19,0
CUST_00211,8302.5,700.52,15249.69,6829.8,9,27,11,2.232,2,171.13,0
CUST_00212,1103.5,684.83,17741.61,8565.71,6,31,11,2.071,3,1039.76,0
CUST_00213,3742.72,205.4,22773.42,10623.19,8,34,14,2.144,2,206.1,0
CUST_00214,2354.89,411.05,33612.62,5924.7,7,31,19,5.672,3,244.88,0
CUST_00215,2711.06,223.42,4051.6,5990.48,7,21,12,0.676,5,84.26,1
CUST_00216,8977.55,128.78,8193.68,21436.65,7,33,12,0.382,3,1284.15,0
CUST_00217,5909.43,145.11,8176.52,18547.54,11,25,12,0.441,7,193.92,0
CUST_00218,12132.68,302.21,7491.63,9954.69,11,33,10,0.752,3,418.27,1
CUST_00219,3168.28,4771.13,4820.29,28602.31,10,41,9,0.169,3,299.86,0
CUST_00220,1946.23,461.05,2468.96,4776.78,9,36,17,0.517,5,203.16,1
CUST_00221,2976.57,220.77,8726.71,26358.01,11,24,8,0.331,4,62.84,0
CUST_00222,4528.96,266.94,4382.24,10521.1,8,23,11,0.416,3,254.73,0
CUST_00223,4268.07,265.04,8680.16,106977.33,12,24,13,0.081,5,247.11,1
CUST_00224,1372.04,168.64,4293.1,2407.61,7,41,19,1.782,4,373.58,0
CUST_00225,3949.88,332.01,3361.94,3692.49,13,26,19,0.91,2,1341.88,0
CUST_00226,4471.17,160.07,9773.59,9470.89,6,26,16,1.032,3,469.25,0
CUST_00227,35091.94,80.7,9142.94,9298.88,12,27,13,0.983,0,545.61,0
CUST_00228,19715.49,266.49,12879.93,34808.54,11,34,26,0.37,5,241.38,0
CUST_00229,1689.32,296.57,46569.03,3758.9,9,23,7,12.386,5,119.19,0
CUST_00230,2811.17,161.31,10115.58,14316.68,11,34,6,0.707,6,245.8,0
CUST_00231,975.45,232.27,11944.97,17820.3,5,32,14,0.67,6,178.73,0
CUST_00232,2139.58,391.0,3421.9,12075.7,10,32,15,0.283,1,288.57,0
CUST_00233,4836.97,173.91,2894.23,2931.16,13,21,10,0.987,7,211.47,1
CUST_00234,10778.06,126.77,28746.28,21951.59,10,28,6,1.309,2,92.35,1
CUST_00235,1889.04,102.78,3870.8,18862.41,9,28,13,0.205,6,725.52,0
CUST_00236,2020.84,147.96,3515.18,11044.05,5,39,12,0.318,1,270.82,0
CUST_00237,527.13,618.88,7853.55,7892.72,10,25,9,0.995,3,237.22,0
CUST_00238,3145.1,154.67,7539.01,8040.06,7,23,10,0.938,4,137.92,0
CUST_00239,1399.44,241.67,3936.29,6204.78,7,26,15,0.634,4,214.27,1
CUST_00240,2260.87,139.83,6348.8,11437.67,10,28,11,0.555,6,163.32,0
CUST_00241,1653.79,130.56,21666.02,6812.16,9,26,9,3.18,1,129.57,0
CUST_00242,3344.81,89.71,4252.26,3225.21,7,29,14,1.318,1,334.92,0
CUST_00243,748.48,196.41,2657.29,2720.84,9,26,11,0.976,3,215.26,0
CUST_00244,972.3,119.86,17224.27,3500.88,9,40,13,4.919,1,504.73,0
CUST_00245,24743.61,502.17,12014.12,8012.94,9,25,9,1.499,2,232.23,0
CUST_00246,1142.89,166.33,4932.42,6483.97,9,33,14,0.761,4,323.87,1
CUST_00247,1356.81,174.93,2285.33,7966.83,10,36,10,0.287,4,317.48,0
CUST_00248,19019.54,156.94,4466.24,10154.69,16,26,10,0.44,6,391.26,0
CUST_00249,49739.79,243.92,7756.11,3892.38,9,26,15,1.992,5,165.87,0
CUST_00250,1268.5,597.48,20589.52,23058.99,11,31,13,0.893,5,560.81,1
CUST_00251,2613.84,78.9,3535.94,5284.04,11,29,12,0.669,7,130.84,0
CUST_00252,4951.27,226.39,7573.3,4589.78,7,30,16,1.65,2,307.88,0
CUST_00253,17254.49,51.68,13906.56,9996.88,7,28,11,1.391,2,128.58,0
CUST_00254,1497.91,482.3,1205.91,1392.65,17,36,15,0.865,2,274.65,1
CUST_00255,2919.74,166.25,18527.82,3388.17,6,28,16,5.467,4,557.57,0
CUST_00256,7329.07,54.82,3146.48,15274.07,9,25,16,0.206,3,440.91,0
CUST_00257,5384.55,65.33,10568.11,1515.03,12,26,19,6.971,0,627.03,0
CUST_00258,2595.31,347.62,9870.9,17153.17,6,33,10,0.575,6,241.71,0
CUST_00259,3227.81,47.86,19296.31,23967.79,12,32,11,0.805,1,564.67,1
CUST_00260,1056.37,226.47,12591.02,4846.26,11,24,12,2.598,5,184.09,0
CUST_00261,2938.47,128.66,1209.75,8501.87,7,26,8,0.142,4,216.82,0
CUST_00262,2864.79,155.12,4325.04,17175.24,6,33,13,0.252,7,327.35,0
CUST_00263,4487.06,105.73,9050.4,4461.45,14,38,18,2.028,0,541.86,0
CUST_00264,2208.8,84.58,6932.78,13871.74,10,29,15,0.5,5,203.74,0
CUST_00265,5565.74,122.74,11873.79,3750.05,12,25,10,3.165,5,486.19,0
CUST_00266,9058.37,286.45,15237.17,4420.63,6,41,9,3.446,2,351.37,0
CUST_00267,4187.61,143.44,13184.03,3362.92,8,24,9,3.919,3,378.35,0
CUST_00268,4996.94,253.91,6826.59,8877.28,10,35,16,0.769,4,164.31,0
CUST_00269,3819.37,149.34,1849.98,17752.36,9,17,12,0.104,5,228.31,0
CUST_00270,3641.23,295.6,5628.59,5673.17,8,34,10,0.992,10,279.91,0
CUST_00271,1901.88,252.64,11306.06,2251.69,8,38,14,5.019,5,378.51,1
CUST_00272,4840.85,117.62,3386.8,2643.08,7,32,12,1.281,8,169.83,1
CUST_00273,3335.71,84.53,13426.96,9278.08,6,40,14,1.447,3,120.98,0
CUST_00274,23953.06,389.37,16759.4,31808.82,8,34,15,0.527,1,67.16,1
CUST_00275,15003.21,94.57,8968.68,9271.18,9,21,14,0.967,4,503.74,0
CUST_00276,5152.63,270.6,698.53,4774.95,10,35,14,0.146,2,578.75,0
CUST_00277,1832.16,185.84,2914.72,12724.14,8,36,8,0.229,5,73.2,0
CUST_00278,1337.86,125.15,36642.03,5412.28,12,31,18,6.769,4,315.13,1
CUST_00279,10636.31,255.59,5233.16,4810.03,6,28,10,1.088,2,229.52,0
CUST_00280,4612.26,541.48,1656.87,2937.49,6,32,16,0.564,5,700.59,0
CUST_00281,5609.01,298.99,21768.04,21964.47,7,31,15,0.991,2,257.96,0
CUST_00282,757.39,201.03,8190.13,766.38,3,21,10,10.673,8,437.84,0
CUST_00283,8389.15,663.27,19613.09,13071.38,6,21,15,1.5,4,221.92,0
CUST_00284,5480.65,47.49,10112.9,4473.01,3,34,15,2.26,2,184.76,0
CUST_00285,1340.25,74.46,11694.19,4680.73,11,31,15,2.498,6,511.36,0
CUST_00286,2381.84,125.02,10833.6,27958.26,9,29,10,0.387,4,635.78,1
CUST_00287,4616.28,564.23,14157.37,3615.51,7,31,9,3.915,6,122.95,0
CUST_00288,3817.0,385.4,50108.42,3721.72,12,35,14,13.46,4,664.95,1
CUST_00289,2799.08,45.92,17620.27,5938.22,6,30,13,2.967,2,151.06,0
CUST_00290,3317.15,127.86,2288.68,9431.12,10,30,8,0.243,4,58.41,0
CUST_00291,2902.19,62.86,11583.41,4557.01,11,21,11,2.541,2,301.14,0
CUST_00292,4176.82,175.5,20194.88,1741.01,14,29,9,11.593,7,426.25,0
CUST_00293,13688.93,372.96,21208.57,3178.47,6,22,11,6.67,4,103.44,0
CUST_00294,361.41,395.65,5760.13,19714.97,17,36,14,0.292,5,74.59,0
CUST_00295,2941.97,224.62,20577.54,7069.61,12,34,18,2.91,5,211.38,0
CUST_00296,4267.83,129.02,17020.84,9734.43,8,32,13,1.748,6,192.48,0
CUST_00297,4752.35,167.95,63450.41,5312.36,11,28,15,11.942,3,779.56,0
CUST_00298,2605.23,313.13,4447.06,3787.37,9,28,16,1.174,4,301.41,0
CUST_00299,749.16,1185.41,5399.6,27610.02,7,30,15,0.196,4,499.79,1
CUST_00300,4891.21,70.24,6342.99,5653.54,7,34,14,1.122,2,346.12,1
CUST_00301,17233.58,646.18,5474.31,4551.15,9,38,9,1.203,3,896.13,1
CUST_00302,915.55,220.36,3975.81,16843.52,6,26,9,0.236,2,160.1,0
CUST_00303,7922.37,349.39,888.79,3590.31,9,27,9,0.247,5,281.02,1
CUST_00304,2708.98,210.22,5722.95,4001.73,10,28,5,1.43,2,99.65,0
CUST_00305,3445.44,557.44,10888.76,6692.28,9,39,12,1.627,4,527.41,0
CUST_00306,1411.48,235.98,5461.19,6635.77,7,23,14,0.823,4,651.85,0
CUST_00307,2694.56,107.88,38112.78,8272.31,12,35,17,4.607,4,550.56,1
CUST_00308,11731.59,259.85,8190.26,39258.32,5,30,8,0.209,3,273.89,1
CUST_00309,6151.12,446.49,22761.44,8829.12,8,30,5,2.578,4,105.36,0
CUST_00310,17310.71,181.3,9987.97,878.89,9,35,14,11.351,4,281.33,0
CUST_00311,10505.67,34.49,15695.45,8754.77,9,34,14,1.793,3,185.97,0
CUST_00312,5405.53,165.35,10131.38,6851.33,8,31,11,1.479,3,570.13,0
CUST_00313,17492.74,196.06,24222.27,6883.84,11,29,13,3.518,6,221.69,0
CUST_00314,5405.08,174.87,8473.95,8176.79,6,30,15,1.036,6,218.41,0
